college,reason,amount,year
Corpus Christi,Dropped bung no advantage,15,2017
Corpus Christi,Failure to provide a marshal second offence,30,2017
Downing,Failure to provide a marshal second offence,30,2017
Fitzwilliam,Excessive bank party,30,2017
Fitzwilliam,Excessive bank party second offence,45,2017
Fitzwilliam,Excessive bank party third offence,60,2017
Fitzwilliam,Excessive bank party fourth offence,75,2017
Fitzwilliam,Excessive bank party fifth offence,90,2017
Girton,Dropped bung no advantage,15,2017
Homerton,Failure to provide a marshal,15,2017
Jesus,No lifejacket on row down,50,2017
Magdalene,Excessively late concession,50,2017
Magdalene,Illegal practice start,20,2017
Magdalene,Failure to provide a marshal second offence,30,2017
LMBC,Excessive bank part,30,2017
LMBC,Slow to hold it up upon bumping,30,2017
LMBC,Late marshal,5,2017
Queens',Dropped bung no advantage,15,2017
Queens',Failure to clear,30,2017
Selwyn,Dangerous coxing,40,2017
St Edmund's,Failure to provide a marshal second offence,30,2017
Wolfson,Slow to hold it up upon bumping,30,2017
Anglia Ruskin,Failure to provide a marshal third offence,45,2017
Caius,Failure to provide a marshal,15,2017
Christ's,Dropped bung no advantage,15,2017
Christ's,Failure to provide a marshal,15,2017
Downing,Sensible avoidance of a stationary crew,-25,2017
Downing,Failure to provide a marshal second offence,30,2017
Emmanuel,Forgotten bung no advantage,15,2017
Emmanuel,Celebration before clearing,40,2017
Emmanuel,Incompetent clearing,75,2017
First and Third,Dangerous coxing owing to using phone and carrying flag,40,2017
Hughes Hall,Very slow to clear,50,2017
Hughes Hall,Dangerously incompetent clearing,50,2017
Hughes Hall,Failure to provide a marshal,15,2017
Jesus,Forgotten bung no advantage,15,2017
Jesus,ignoring umpire's instructions,20,2017
Jesus,Dangerous coxing,40,2017
Jesus,Commendation for sensibly conceding upon crashing,-25,2017
LMBC,Slow to hold it up upon encountering a blocked river,10,2017
LMBC,Ignoring navigation rules; only victory laps by headship crews are accommodated,30,2017
Magdalene,No lifejacket for row down,50,2017
Murray Edwards,Obstructing an umpire and bank party ignoring an umpire,30,2017
Murray Edwards,Obstructing an umpire,15,2017
Peterhouse,Failure to hold it up upon bumping,50,2017
Queens',Failure to provide a marshal,15,2017
Selwyn,Dropped bung no advantage,15,2017
St Catharine's,Rowing into a stationary crew,75,2017
Trinity Hall,Failure to provide a marshal,15,2017
Caius,Public Urination,80,2016
Caius,Excessive Bank Party,30,2016
Caius,Failure to Following Umpire's Instructions,20,2016
Christ's,Attempting to Overtake the Queue,20,2016
Christ's,Stationary Practice Start,30,2016
Churchill,Littering,80,2016
Clare,Failure to Easy,15,2016
Clare,Stationary Practice Start,30,2016
Downing,Very Late to Marshalling,50,2016
Downing,Excessive Bank Party,30,2016
Downing,Late to Marshalling,20,2016
Downing,Failure to Hold it Up,30,2016
Downing,Early Celebration,30,2016
Downing,Excessive Bank Party,30,2016
Emmanuel,Late to Marshalling,20,2016
Hughes Hall,Dangerous Coxing,75,2016
Hughes Hall,Poor Conduct,25,2016
Hughes Hall,Abusive Language,50,2016
Jesus,Late to Marshalling,20,2016
Jesus,Stationary Practice Start,30,2016
Jesus,Public Urination,80,2016
King's,Failure to Clear,50,2016
LMBC,Public Urination,80,2016
LMBC,Late to Marshalling,20,2016
LMBC,Premature Celebration,20,2016
LMBC,Attempted Stationary Practice Start at Railway Bridge,30,2016
Magdalene,Dropped Bung No Advantage,15,2016
Queens',Foul and Abusive Language,30,2016
Selwyn,Public Urination,80,2016
Selwyn,Boating Without Life Jacket,50,2016
Sidney Sussex,Stationary Practice Start,30,2016
Sidney Sussex,Dropped Bung No Advantage,15,2016
Sidney Sussex,Failure to Concede,20,2016
Selwyn,Foul Language,20,2016
Wolfson,Stopped Rowing upon Being Bumped,20,2016
Caius,Ignoring umpires instructions,20,2016
Caius,Public Urination,80,2016
Caius,Excessive Bank Party,30,2016
Caius,Excessive Bank Party,45,2016
Christ's,Failure to conceded,20,2016
Churchill,Early Celebration,30,2016
Churchill,Failure to hold it up,30,2016
Clare Hall,Failure to clear,15,2016
Corpus Christi,Failure to easy,40,2016
Downing,Excessive bank party,30,2016
Emmanuel,Early Celebration,30,2016
First and Third,Early Celebration,30,2016
Fitzwilliam,Excessive bank party,30,2016
Girton,Excessive bank party,30,2016
Homerton,Late to marshalling,20,2016
Hughes Hall,Disobeying umpire’s instructions,20,2016
Hughes Hall,Forgot Bung no advantage,15,2016
Jesus,Late to marshalling,20,2016
Jesus,Dropped Bung no advantage,15,2016
King's,Foul and abusive language,30,2016
LMBC,No lifejacket,50,2016
Murray Edwards,Boating Without Life Jacket,50,2016
Newnham,Failure to Clear,50,2016
Pembroke,Excessive bank party,30,2016
Pembroke,Foul and abusive language,30,2016
Queens,Stationary Start in Marshalling Area,30,2016
Queens',Excessive bank party,30,2016
Selwyn,Failure to hold it up on bumping,30,2016
St Edmund's,Disobeying umpire’s instructions,20,2016
Wolfson,Excessive Bank Party,30,2016
Anglia Ruskin,Stationary Practice Start on the Reach by first excessively 'pausing',30,2016
Caius,Failure to Provide Marshal (1st Offence),15,2016
Caius,Failure to Provide Marshal (2nd Offence),30,2016
Caius,Failure to Provide Marshal (3rd Offence),45,2016
Caius,Excess Bank Party,30,2016
Christ's,Failure to Provide Marshal (1st Offence),15,2016
Corpus,Failure to Provide Marshal (1st Offence),15,2016
Darwin,Failure to Provide Marshal (1st Offence),15,2016
Darwin,Failure to Provide Marshal (2nd Offence),30,2016
Darwin,Dropped Bung No Advantage,15,2016
Downing,Failure to Provide Marshal (1st Offence),15,2016
Downing,Failure to Provide Marshal (2nd Offence),30,2016
Emmanuel,Failure to Provide Marshal (1st Offence),15,2016
Emmanuel,Excess Bank Party,30,2016
Homerton,Failure to Provide Marshal (1st Offence),15,2016
Homerton,Very Late to Marshalling,40,2016
Homerton,Dropped Bung No Advantage,15,2016
LMBC,Failure to Provide Marshal (1st Offence),15,2016
LMBC,Excess Bank Party,30,2016
LMBC,Early Celebration,30,2016
Magdalene,Dropped Bung No Advantage,15,2016
Pembroke,Stopping rowing upon being bumped,30,2016
Pembroke,Late to Marshalling,20,2016
Peterhouse,Excess Bank Party,30,2016
Queens',Failure to Provide Marshal (1st Offence),15,2016
Queens',Failure to Provide Marshal (2nd Offence),30,2016
Robinson,Failure to Provide Marshal (1st Offence),15,2016
Selwyn,Failure to Provide Marshal (1st Offence),15,2016
Trinity Hall,Failure to Provide Marshal (1st Offence),15,2016
Trinity Hall,Excess Bank Party,30,2016
Trinity Hall,Failure to Hold it Up,30,2016
Wolfson,Dropped Bung No Advantage,15,2016
Anglia Ruskin,Failure to Provide Marshal,15,2016
Anglia Ruskin,Failure to Provide Marshal,30,2016
Anglia Ruskin,Failure to Provide Marshal,45,2016
Caius,Excess Bank Party (3rd offence),60,2016
Caius,Excess Bank Party (4th offence),75,2016
Caius,Ignoring Umpire's Instructions,30,2016
Caius,Failure to provide Marshal (fourth offence),60,2016
Caius,Failure to Provide Marshal (fifth offence),60,2016
Christ's,Failure to Clear,75,2016
Christ's,Failure to Provide Marshal (second offence),30,2016
Churchill,Obstructing Umpire,50,2016
Churchill,Abusive Language from Bank Party,50,2016
Clare,Early Celebration,30,2016
Clare,Failure to Clear,30,2016
Clare Hall,Early Celebration,20,2016
Corpus Christi,Failure to Provide Marshal (second offence),30,2016
Corpus Christi,Failure to Provide Marshal (third offence),45,2016
Darwin,Excessive Bank Party,30,2016
Darwin,Very Late to Marshalling,40,2016
Darwin,Dangerous Coxing,30,2016
Downing,Excessive Bank Party,30,2016
Emmanuel,Excessive Bank Party,30,2016
Emmanuel,Failure to Provide Marshal (second offence),30,2016
First and Third,Public Urination,80,2016
First and Third,Foul Language,30,2016
First and Third,Excessive Bank Party,30,2016
First and Third,Excessive Bank Party (second offence),45,2016
First and Third,Dangerous Failure to Concede,75,2016
Homerton,Excessive Bank Party,30,2016
Homerton,Late Concession,30,2016
Homerton,Excessive Bank Party (first offence),30,2016
Homerton,Excessive Bank Party (second offence),45,2016
Homerton,Excessive Bank Party (third offence),45,2016
Homerton,Failure to Provide Marshal (second offence),30,2016
Homerton,Failure to Provide Marshal (third offence),45,2016
Hughes Hall,Excessive Bank Party,30,2016
Hughes Hall,Excessive Bank Party,30,2016
Hughes Hall,Excessive Bank Party (second offence),45,2016
Jesus,Early Celebration,20,2016
Jesus,Dropped Bung No Advantage,15,2016
Jesus,Dangerous Coxing,50,2016
Jesus,Failure to Provide Marshal,15,2016
LMBC,Failure to Hold it up on Bumping,40,2016
LMBC,Early Celebration,75,2016
LMBC,Obstructing Umpire,30,2016
LMBC,Early Celebration,30,2016
LMBC,Attempting to Overtake the Queue,20,2016
LMBC,Failure to Provide Marshal (second offence),30,2016
LMBC,Failure to Provide Marshal (third offence),45,2016
Magdalene,Excess Bank Party (first runner),30,2016
Magdalene,Excess Bank Party (second runner),45,2016
Magdalene,Obstructing Umpire,30,2016
Newnham,Failure to Provide Marshal,15,2016
Pembroke,Excess Bank Party (first offence),30,2016
Pembroke,Excess Bank Party (second offence),45,2016
Pembroke,Ignoring Umpire's Instructions,30,2016
Pembroke,Obstructing Umpire,50,2016
Pembroke,Failure to Clear,30,2016
Pembroke,Early Celebration,20,2016
Peterhouse,Stopped Rowing Upon Being Bumped,50,2016
Queens',Early Celebration,20,2016
Queens',Stopped Rowing Upon Being Bumped,40,2016
Selwyn,Failure to Clear,50,2016
Wolfson,Failure to hold it up on Bumping,75,2016
Wolfson,Failure to Provide Marshal,15,2016
Clare Hall,Urinating in public,85,2015
Corpus Christi,Failure to provide marshal,15,2015
Corpus Christi,Overtaking queue,15,2015
Darwin,Overtaking queue,15,2015
Downing,Failure to provide marshal,15,2015
Downing,Failure to provide marshal (second offence),30,2015
Downing,Pushed out without bung (no advantage),15,2015
Downing,Late concession,15,2015
Emmanuel,Forgot bung (no advantage),15,2015
Fitzwilliam,Slow to clear,30,2015
Fitzwilliam,Crashing into a stationary crew when attempting to clear,30,2015
Girton,Late to marshalling,15,2015
Jesus,Dropped bung (no advantage),15,2015
Jesus,Late to marshalling,15,2015
Queens',Late to marshalling,15,2015
Selwyn,Failure to provide marshal,15,2015
Selwyn,Practise start at Railway Bridge,15,2015
Selwyn,Late concession,15,2015
Sidney Sussex,Late concession,15,2015
Trinity Hall,Overtaking queue,15,2015
Anglia Ruskin,Failure to concede,30,2015
Darwin,Dropped bung (no advantage),15,2015
First and Third,Excessive bank party,30,2015
First and Third,Late concession,15,2015
Fitzwilliam,Excessive bank party,30,2015
Girton,Late concession,15,2015
Homerton,Failure to clear,30,2015
Jesus,No lifejacket,50,2015
Jesus,Forgot bung (no advantage),15,2015
King's,Failure to clear,30,2015
LMBC,Foul and abusive language / gestures from bank party,50,2015
Robinson,Dropped bung (no advantage),15,2015
Sidney Sussex,Excessive bank party,30,2015
Sidney Sussex,Bank party impeding umpires,30,2015
Sidney Sussex,Serious failure to easy taking five strokes into crew in front after they'd conceded,50,2015
St Catharine's,Late concession,15,2015
St Edmund's,Excessive bank party,30,2015
Trinity Hall,Failure to hold it up,40,2015
Trinity Hall,Early celebration,30,2015
Christ's,Excessive bank party,30,2015
Churchill,Late to marshalling,20,2015
Clare,Late to marshalling,20,2015
Clare Hall,Failure to hold it up on bumping,35,2015
Corpus Christi,Excessive bank party,30,2015
Corpus Christi,Failure to hold it up on bumping,35,2015
Emmanuel,Dropped bung (no advantage),15,2015
First and Third,Excessive bank party,30,2015
First and Third,Late to marshalling,20,2015
King's,No life jacket,50,2015
LMBC,Failure to hold it up on bumping early celebration and then failure to clear,50,2015
LMBC,Public urination,80,2015
LMBC,Late concession,25,2015
LMBC,Late concession,25,2015
LMBC,Easying upon being bumped,35,2015
LMBC,Late to marshalling,20,2015
Pembroke,Late to marshalling,20,2015
Queens',Bank party obstructing umpires,25,2015
Robinson,Dropped bung (no advantage),15,2015
Robinson,Dropped bung (no advantage),15,2015
Selwyn,Extremely late to marshalling,20,2015
Anglia Ruskin,Failure to provide marshal (Friday),15,2015
Caius,Excessive bank party,30,2015
Caius,Easied when bumped,20,2015
Christ's,Failure to hold it up,30,2015
Christ's,Practice start at railway bridge,15,2015
Clare,Failure to provide marshal (Friday),15,2015
Corpus Christi,Bank party obstructed umpire,20,2015
Emmanuel,Excessive bank party (joined in the gut),30,2015
Emmanuel,Practise start at railway bridge,15,2015
Girton,Failure to easy,40,2015
Homerton,Failure to provide marshal (Thursday),15,2015
Homerton,Failure to provide marshal (Friday second offence),30,2015
Homerton,Early celebration,20,2015
Homerton,Failure to clear,20,2015
Hughes Hall,Easied when bumped,10,2015
Jesus,Failure to provide marshal (Thursday),15,2015
Jesus,Bank party obstructing umpire,20,2015
King's,Failure to hold it up,40,2015
LMBC,Excessive bank party,30,2015
LMBC,Excessive bank party (second offence),45,2015
LMBC,Excessive bank party (third offence),60,2015
LMBC,Slow to clear,15,2015
LMBC,Dropped bung (no advantage),15,2015
Pembroke,Excessive bank party,30,2015
Pembroke,Excessive bank party (second offence),45,2015
Selwyn,Failure to provide marshal (Thursday second offence),30,2015
St Catharine's,Rowed into stationary crew at race pace,75,2015
St Edmund's,Illegal Crew Member (Friday),50,2015
Christ's,Dropped bung no advantage,15,2014
Corpus Christi,Early celebration,20,2014
Corpus Christi,Impeding chasing crew,50,2014
Darwin,Failure to clear,50,2014
Downing,Excessive bank party,30,2014
Emmanuel,Very late to marshalling,20,2014
Hughes Hall,Failure to hold it up early celebration and failure to clear,25,2014
Hughes Hall,Late to marshal due to swapping blades,20,2014
Fitzwilliam,Very late to marshalling,20,2014
Girton,Dangerous coxing on row home,30,2014
LMBC,Excessive bank party,30,2014
LMBC,Very late to marshalling,20,2014
LMBC,Dropped bung no advantage,15,2014
Magdalene,Failure to concede,20,2014
Peterhouse,Late to marshalling,20,2014
Sidney Sussex,Dropped bung no advantage,15,2014
Wolfson,Dangerous failure to clear,50,2014
Corpus Christi,Failure to provide marshal,15,2014
Downing,Failure to provide marshal,15,2014
First and Third,Failure to provide marshal,15,2014
Fitzwilliam,Late marshal,5,2014
Jesus,Failure to provide marshal,15,2014
LMBC,Failure to provide marshal,15,2014
Pembroke,Inexperienced marshal,5,2014
St Catharine's,Failure to provide marshal,15,2014
Trinity Hall,Failure to provide marshal,15,2014
Caius,Practice start at railway bridge,20,2014
Churchill,Excessive bank party,30,2014
Churchill,Late to marshalling,20,2014
Churchill,Failure to hold it up,20,2014
First and Third,Obstructing an umpire,30,2014
Girton,Abusive behaviour by bank party,50,2014
Homerton,Late to marshalling,20,2014
Hughes Hall,Very late to marshalling,20,2014
Hughes Hall,Boating without full crew,50,2014
Hughes Hall,Boating without full crew,50,2014
Jesus,Dropped bung no advantage,15,2014
Jesus,Boating without full crew,50,2014
LMBC,Public urination,80,2014
LMBC,Late to hold it up,20,2014
LMBC,Public urination,80,2014
Magdalene,Late to marshal,20,2014
Pembroke,Public urination,80,2014
Pembroke,Failure to concede,50,2014
Pembroke,Public urination,80,2014
Queens',Excessive bank party,30,2014
Queens',Failure to concede,25,2014
Queens',Failure to clear,30,2014
Robinson,Dropped bung no advantage,15,2014
Selwyn,Dropped bung no advantage,15,2014
Sidney Sussex,M1  Dropped bung no advantage,15,2014
St Catharine's,Failure to concede,20,2014
St Catharine's,Failure to clear,30,2014
Trinity Hall,No lifejacket,50,2014
Trinity Hall,Excessive bank party,30,2014
Downing,Failure to provide marshal,15,2014
Caius,Failure to provide marshal,15,2014
Darwin,Marshal getting lost on way to grassy,5,2014
Homerton,Failure to provide marshal,15,2014
Selwyn,Failure to provide marshal,15,2014
Trinity Hall,Failure to provide marshal (2nd),30,2014
Caius,No lifejacket (and only realised 7 minutes before the start),50,2014
Caius,Foul and abusive language,25,2014
Christ's,Very serious failure to acknowledge,75,2014
Christ's,Rowing at race pace while marshalling into another crew,20,2014
Churchill,Early celebration,20,2014
Clare Hall,Stopped rowing upon being bumped,20,2014
Corpus Christi,Aggressive coxing on row home,30,2014
Corpus Christi,Dropped bung no advantage,15,2014
Girton,Stopped rowing upon being bumped causing serious collision,75,2014
Girton,Abusive language towards an umpire,50,2014
Homerton,Foul and abusive language,25,2014
Hughes Hall,Failure to easy after bump awarded,30,2014
Jesus,Excessive bank party,30,2014
LMBC,Excessive bank party,30,2014
Pembroke,Late to marshalling,20,2014
Peterhouse,Serious failure to hold it up and early celebration,60,2014
Robinson,Dropped bung small advantage did not affect outcome,20,2014
Robinson,Dropped bung no advantage,15,2014
Selwyn,Ignoring umpire's instructions,20,2014
Sidney Sussex,Dropped bung no advantage,15,2014
St Catharine's,Failure to concede,20,2014
St Edmund's,Foul and abusive language,30,2014
Trinity Hall,Practice start at railway bridge,20,2014
Caius,Failure to provide marshal (2nd),30,2014
Darwin,Failure to provide marshal,15,2014
Girton,Failure to provide marshal,15,2014
Jesus,Failure to provide marshal (2nd),30,2014
LMBC,Failure to provide marshal (2nd),30,2014
Queens',Failure to provide marshal,15,2014
Christ's,Abusive language towards an umpire,50,2014
Churchill,Excessive bank party,60,2014
Clare,Late concession,20,2014
Darwin,Excessive bank party,60,2014
Downing,Excessive bank party,60,2014
Emmanuel,Excessive bank party,60,2014
First and Third,Excessive bank party,60,2014
First and Third,Foul and abusive language to another crew,25,2014
Jesus,Late to marshalling,20,2014
LMBC,Excessive bank party,60,2014
LMBC,Very slow to clear,25,2014
Magdalene,Failure to clear,40,2014
Pembroke,Practice start at railway bridge,20,2014
Pembroke,Dropped bung no advantage,15,2014
Queens',Excessive bank party,60,2014
Queens',Late concession,40,2014
Robinson,Dropped bung small advantage did not affect outcome,20,2014
